"","login","host","data"
"11719","barbara.alexander","194.29.178.233",2014-11-10 12:24:37
"11720","bobby.eaton","194.29.178.219",2014-11-10 12:35:20
"11721","ario","194.29.178.117",2014-11-10 12:36:31
"11722","cjam","194.29.178.191",2014-11-10 12:39:43
"11723","z.stevenson","194.29.178.77",2014-11-10 12:46:39
"11724","m.hodges","194.29.178.186",2014-11-10 12:53:40
"11725","t.figueroa","194.29.178.60",2014-11-10 12:54:31
"11726","dwayne.morales","194.29.178.182",2014-11-10 12:55:03
"11727","vrob","194.29.178.218",2014-11-10 12:59:41
"11728","bmey","194.29.178.40",2014-11-10 13:08:21
"11729","gsim","194.29.178.90",2014-11-10 13:13:08
"11730","heidi.watts","194.29.178.223",2014-11-10 13:23:50
"11731","labb","194.29.178.128",2014-11-10 13:27:59
"11732","wmoo","194.29.178.252",2014-11-10 13:35:47
"11733","j.osborne","193.0.96.13.47",2014-11-10 13:36:18
"11734","rhen","194.29.178.155",2014-11-10 13:53:44
"11735","mrom","193.0.96.13.15",2014-11-10 14:00:24
"11736","dhay","194.29.178.177",2014-11-10 14:00:56
"11737","allen.mathis","194.29.178.218",2014-11-10 14:09:23
"11738","m.hodges","194.29.178.186",2014-11-10 14:18:55
"11739","dwil","194.29.178.11",2014-11-10 14:25:58
"11740","j.gaines","194.29.178.200",2014-11-10 14:38:09
"11741","kelly.davenport","194.29.178.9",2014-11-10 14:39:02
"11742","f.barnes","193.0.96.13.38",2014-11-10 14:39:31
"11743","aher","193.0.96.13.29",2014-11-10 14:41:01
"11744","slun","194.29.178.9",2014-11-10 14:43:21
"11745","d.dominguez","194.29.178.167",2014-11-10 14:49:25
"11746","s.burns","194.29.178.195",2014-11-10 14:51:42
"11747","c.tran","193.0.96.13.29",2014-11-10 14:52:06
"11748","p.roberson","194.29.178.164",2014-11-10 14:54:33
"11749","s.pittman","194.29.178.217",2014-11-10 15:05:10
"11750","m.sullivan","194.29.178.118",2014-11-10 15:05:28
"11751","bcha","194.29.178.129",2014-11-10 15:15:58
"11752","m.lang","194.29.178.118",2014-11-10 15:21:56
"11753","lillian.goodwin","194.29.178.206",2014-11-10 15:28:21
"11754","mbre","193.0.96.13.7",2014-11-10 15:34:59
"11755","terrence.cross","194.29.178.85",2014-11-10 15:42:55
"11756","eleanor.warner","194.29.178.24",2014-11-10 15:57:14
"11757","p.glenn","193.0.96.13.2",2014-11-10 15:58:23
"11758","vcur","194.29.178.172",2014-11-10 16:08:21
"11759","connie.fletcher","194.29.178.121",2014-11-10 16:09:17
"11760","l.christensen","194.29.178.51",2014-11-10 16:12:48
"11761","d.martin","194.29.178.198",2014-11-10 16:24:31
"11762","gsto","194.29.178.215",2014-11-10 16:36:10
"11763","a.ball","194.29.178.107",2014-11-10 16:40:13
"11764","msno","194.29.178.32",2014-11-10 16:43:03
"11765","jgri","194.29.178.145",2014-11-10 17:02:00
"11766","andrea.burgess","194.29.178.93",2014-11-10 17:09:31
"11767","mshe","194.29.178.207",2014-11-10 17:11:31
"11768","deborah.phillips","194.29.178.6",2014-11-10 17:20:08
"11769","cbur","194.29.178.41",2014-11-10 17:31:16
"11770","wmoo","194.29.178.18",2014-11-10 17:36:04
"11771","clyde.reese","194.29.178.79",2014-11-10 17:39:42
"11772","bertha.mathews","194.29.178.136",2014-11-10 18:01:16
"11773","j.newman","194.29.178.243",2014-11-10 18:11:12
"11774","nspa","193.0.96.13.53",2014-11-10 18:14:25
"11775","ssta","194.29.178.142",2014-11-10 18:18:04
"11776","fnel","194.29.178.155",2014-11-10 18:28:10
"11777","dean.hammond","193.0.96.13.22",2014-11-10 18:36:59
"11778","martin.ballard","194.29.178.132",2014-11-10 18:40:16
"11779","e.thornton","194.29.178.68",2014-11-10 18:51:34
"11780","b.welch","193.0.96.13.9",2014-11-10 18:58:46
"11781","clifford.stephens","193.0.96.13.33",2014-11-10 19:29:49
"11782","c.ramsey","194.29.178.229",2014-11-10 19:47:28
"11783","l.christensen","194.29.178.51",2014-11-10 20:06:22
"11784","jmit","193.0.96.13.40",2014-11-10 20:32:56
"11785","lonnie.hart","194.29.178.207",2014-11-10 21:04:39
"11786","s.edwards","194.29.178.50",2014-11-10 21:35:19
"11787","jbra","194.29.178.53",2014-11-10 21:37:45
"11788","egil","194.29.178.32",2014-11-10 21:43:47
"11789","sbow","194.29.178.187",2014-11-10 21:55:25
"11790","dcon","194.29.178.123",2014-11-10 22:08:53
"11791","ewhi","194.29.178.59",2014-11-10 22:09:11
"11792","jimmy.pierce","193.0.96.13.30",2014-11-10 22:17:14
"11793","ltur","193.0.96.13.10",2014-11-10 22:19:47
"11794","bhod","194.29.178.249",2014-11-10 22:20:07
"11795","b.cameron","194.29.178.56",2014-11-10 22:27:18
"11796","gcun","194.29.178.197",2014-11-10 22:36:30
"11797","c.ramsey","194.29.178.229",2014-11-10 22:43:28
"11798","bhod","194.29.178.249",2014-11-10 22:43:30
"11799","t.palmer","193.0.96.13.51",2014-11-10 22:57:24
"11800","ssta","194.29.178.235",2014-11-10 23:05:45
"11801","heidi.watts","194.29.178.151",2014-11-10 23:07:35
"11802","cort","194.29.178.244",2014-11-10 23:09:15
"11803","talv","194.29.178.64",2014-11-10 23:09:20
"11804","jpar","193.0.96.13.23",2014-11-10 23:19:02
"11805","gwes","194.29.178.181",2014-11-10 23:25:29
"11806","warren.dickerson","194.29.178.32",2014-11-10 23:34:43
"11807","f.gross","194.29.178.173",2014-11-10 23:51:57
"11808","mpow","194.29.178.174",2014-11-11 00:15:30
"11809","lpra","194.29.178.157",2014-11-11 00:27:41
"11810","jimmie.keller","194.29.178.16",2014-11-11 00:28:00
"11811","vrob","194.29.178.218",2014-11-11 00:36:21
"11812","hbuc","194.29.178.213",2014-11-11 00:41:36
"11813","kristen.pearson","194.29.178.160",2014-11-11 00:45:31
"11814","hbuc","194.29.178.196",2014-11-11 00:52:24
"11815","j.gaines","194.29.178.102",2014-11-11 00:53:52
"11816","mowe","194.29.178.47",2014-11-11 01:08:27
"11817","pedro.webster","194.29.178.235",2014-11-11 01:18:48
"11818","rhonda.harmon","194.29.178.184",2014-11-11 01:21:46
"11819","christy.norris","194.29.178.107",2014-11-11 01:25:20
"11820","dwight.henry","194.29.178.209",2014-11-11 01:25:45
"11821","t.payne","193.0.96.13.4",2014-11-11 01:27:38
"11822","leo.steele","194.29.178.62",2014-11-11 01:43:00
"11823","tyler.may","194.29.178.27",2014-11-11 01:56:20
"11824","s.curry","194.29.178.91",2014-11-11 01:59:29
"11825","mhoo","194.29.178.184",2014-11-11 02:10:11
"11826","v.harrington","194.29.178.68",2014-11-11 02:33:00
"11827","heather.schmidt","194.29.178.60",2014-11-11 02:39:35
"11828","brett.johnson","194.29.178.8",2014-11-11 02:40:16
"11829","joann.kennedy","193.0.96.13.0",2014-11-11 02:40:35
"11830","armando.davis","194.29.178.174",2014-11-11 02:55:39
"11831","wmoo","194.29.178.26",2014-11-11 03:01:04
"11832","harry.hampton","193.0.96.13.40",2014-11-11 03:29:57
"11833","erica.bryant","194.29.178.106",2014-11-11 03:43:50
"11834","r.cohen","193.0.96.13.12",2014-11-11 03:53:18
"11835","a.ford","194.29.178.1",2014-11-11 04:04:50
"11836","j.lambert","194.29.178.53",2014-11-11 04:12:42
"11837","p.rhodes","193.0.96.13.32",2014-11-11 04:18:22
"11838","ssan","194.29.178.8",2014-11-11 04:31:36
"11839","andy.copeland","194.29.178.65",2014-11-11 04:33:35
"11840","allen.mathis","194.29.178.218",2014-11-11 04:44:27
"11841","stella.holmes","194.29.178.180",2014-11-11 04:53:20
"11842","emily.ruiz","194.29.178.139",2014-11-11 04:58:19
"11843","apar","194.29.178.245",2014-11-11 05:10:33
"11844","blew","194.29.178.210",2014-11-11 05:15:54
"11845","dwayne.morales","194.29.178.195",2014-11-11 05:42:04
"11846","g.walton","193.0.96.13.15",2014-11-11 05:47:27
"11847","a.mcguire","194.29.178.9",2014-11-11 06:02:55
"11848","a.mason","194.29.178.236",2014-11-11 06:04:30
"11849","c.gilmore","194.29.178.123",2014-11-11 06:05:04
"11850","lpra","194.29.178.142",2014-11-11 06:06:27
"11851","reginald.andrews","194.29.178.236",2014-11-11 06:10:22
"11852","nday","194.29.178.243",2014-11-11 06:30:19
"11853","elizabeth.mendez","194.29.178.111",2014-11-11 06:30:29
"11854","m.sullivan","194.29.178.118",2014-11-11 06:51:42
"11855","m.collier","194.29.178.140",2014-11-11 06:53:09
"11856","m.lang","194.29.178.118",2014-11-11 06:58:10
"11857","r.jordan","194.29.178.186",2014-11-11 07:06:56
"11858","hilda.ortiz","194.29.178.99",2014-11-11 07:16:13
"11859","peter.schneider","193.0.96.13.12",2014-11-11 07:17:59
"11860","vincent.dixon","193.0.96.13.37",2014-11-11 07:45:22
"11861","a.shepherd","194.29.178.81",2014-11-11 07:48:25
"11862","a.mason","194.29.178.236",2014-11-11 07:49:45
"11863","apau","194.29.178.227",2014-11-11 07:51:58
"11864","a.wilcox","194.29.178.17",2014-11-11 08:12:56
"11865","p.glenn","194.29.178.91",2014-11-11 08:17:43
"11866","sharon.ware","194.29.178.65",2014-11-11 08:39:58
"11867","e.stevens","194.29.178.195",2014-11-11 08:49:37
"11868","t.silva","194.29.178.102",2014-11-11 09:03:32
"11869","m.drake","194.29.178.224",2014-11-11 09:09:17
"11870","t.green","194.29.178.78",2014-11-11 09:14:36
"11871","lmor","193.0.96.13.10",2014-11-11 09:44:18
"11872","mrom","194.29.178.109",2014-11-11 09:47:33
"11873","jgri","194.29.178.120",2014-11-11 09:52:13
"11874","jhol","194.29.178.116",2014-11-11 09:53:03
"11875","mowe","194.29.178.47",2014-11-11 09:56:08
"11876","s.edwards","194.29.178.50",2014-11-11 09:57:29
"11877","bagu","194.29.178.110",2014-11-11 10:01:00
"11878","lcar","194.29.178.106",2014-11-11 10:11:28
"11879","soli","194.29.178.153",2014-11-11 10:20:06
"11880","l.stone","194.29.178.65",2014-11-11 10:22:20
"11881","elizabeth.mendez","194.29.178.10",2014-11-11 10:31:50
"11882","mpow","194.29.178.174",2014-11-11 11:06:10
"11883","dana.watkins","194.29.178.193",2014-11-11 11:07:26
"11884","otho","194.29.178.137",2014-11-11 11:24:59
"11885","dwayne.morales","194.29.178.182",2014-11-11 11:41:45
"11886","annie.keith","194.29.178.76",2014-11-11 11:43:34
"11887","velma.jennings","194.29.178.5",2014-11-11 11:50:05
"11888","a.cruz","194.29.178.186",2014-11-11 12:15:11
"11889","frei","194.29.178.31",2014-11-11 12:20:20
"11890","apar","194.29.178.245",2014-11-11 12:32:35
"11891","kent.mccormick","194.29.178.91",2014-11-11 12:52:53
"11892","mcas","194.29.178.49",2014-11-11 12:56:53
"11893","a.allison","194.29.178.65",2014-11-11 12:59:23
"11894","r.patton","194.29.178.197",2014-11-11 13:03:14
"11895","eleanor.warner","194.29.178.62",2014-11-11 13:15:18
"11896","steven.gardner","193.0.96.13.17",2014-11-11 13:22:42
"11897","m.valdez","194.29.178.165",2014-11-11 13:42:49
"11898","gabriel.vazquez","194.29.178.81",2014-11-11 13:50:25
"11899","christopher.medina","194.29.178.212",2014-11-11 14:03:13
"11900","jpit","194.29.178.237",2014-11-11 14:05:05
"11901","e.thornton","193.0.96.13.11",2014-11-11 14:33:44
"11902","ruby.gomez","194.29.178.196",2014-11-11 14:47:51
"11903","dcon","193.0.96.13.39",2014-11-11 14:52:27
"11904","annie.keith","194.29.178.76",2014-11-11 14:55:37
"11905","b.cameron","194.29.178.121",2014-11-11 15:10:02
"11906","rcox","194.29.178.82",2014-11-11 15:15:35
"11907","annie.keith","194.29.178.76",2014-11-11 15:34:21
"11908","kelly.davenport","194.29.178.206",2014-11-11 15:44:27
"11909","hqui","194.29.178.224",2014-11-11 15:45:26
"11910","t.weaver","194.29.178.76",2014-11-11 15:46:09
"11911","erik.kelley","194.29.178.176",2014-11-11 16:00:23
"11912","jsco","194.29.178.229",2014-11-11 16:00:47
"11913","a.wallace","193.0.96.13.48",2014-11-11 16:06:20
"11914","gwes","194.29.178.130",2014-11-11 16:14:25
"11915","christopher.medina","194.29.178.99",2014-11-11 16:25:06
"11916","k.simmons","194.29.178.8",2014-11-11 16:41:19
"11917","gjen","194.29.178.166",2014-11-11 16:50:17
"11918","dpar","194.29.178.123",2014-11-11 16:50:27
"11919","dana.watkins","194.29.178.193",2014-11-11 17:07:33
"11920","angel.adams","193.0.96.13.53",2014-11-11 17:15:58
"11921","jhol","194.29.178.166",2014-11-11 17:17:40
"11922","joann.kennedy","194.29.178.22",2014-11-11 17:26:00
"11923","ltur","193.0.96.13.10",2014-11-11 17:42:52
"11924","r.bradley","194.29.178.21",2014-11-11 18:19:39
"11925","alberto.blair","193.0.96.13.31",2014-11-11 18:22:04
"11926","andy.copeland","194.29.178.65",2014-11-11 18:23:20
"11927","jennie.rowe","193.0.96.13.46",2014-11-11 18:26:53
"11928","egil","194.29.178.122",2014-11-11 18:32:50
"11929","pedro.webster","194.29.178.121",2014-11-11 18:59:50
"11930","mhar","194.29.178.81",2014-11-11 19:13:56
"11931","r.kelly","194.29.178.201",2014-11-11 19:45:09
"11932","dmur","194.29.178.236",2014-11-11 19:46:31
"11933","jordan.alvarado","194.29.178.173",2014-11-11 19:47:44
"11934","a.mason","194.29.178.236",2014-11-11 19:51:44
"11935","erik.kelley","194.29.178.176",2014-11-11 19:59:49
"11936","leo.steele","194.29.178.3",2014-11-11 20:04:12
"11937","esal","194.29.178.251",2014-11-11 20:04:19
"11938","s.burns","194.29.178.195",2014-11-11 20:41:58
"11939","ttay","194.29.178.78",2014-11-11 20:42:55
"11940","lonnie.hart","194.29.178.207",2014-11-11 20:47:12
"11941","deborah.phillips","194.29.178.191",2014-11-11 20:50:38
"11942","m.santiago","194.29.178.102",2014-11-11 20:58:12
"11943","c.ramsey","194.29.178.116",2014-11-11 21:02:17
"11944","harold.espinoza","194.29.178.51",2014-11-11 21:02:22
"11945","patricia.marshall","194.29.178.15",2014-11-11 21:08:59
"11946","cort","193.0.96.13.2",2014-11-11 21:11:06
"11947","cbow","194.29.178.15",2014-11-11 21:14:51
"11948","r.bradley","194.29.178.21",2014-11-11 21:21:35
"11949","c.hernandez","194.29.178.231",2014-11-11 21:42:36
"11950","kelly.davenport","193.0.96.13.22",2014-11-11 21:45:59
"11951","sest","193.0.96.13.22",2014-11-11 21:51:44
"11952","kmey","194.29.178.162",2014-11-11 21:52:25
"11953","gcun","194.29.178.197",2014-11-11 22:07:40
"11954","s.edwards","194.29.178.50",2014-11-11 22:10:28
"11955","ssan","194.29.178.8",2014-11-11 22:17:36
"11956","jack.mckinney","194.29.178.105",2014-11-11 22:25:20
"11957","clarence.torres","194.29.178.150",2014-11-11 22:41:16
"11958","hjen","194.29.178.134",2014-11-11 22:47:11
"11959","emily.ruiz","194.29.178.139",2014-11-11 22:56:21
"11960","s.pittman","194.29.178.213",2014-11-11 22:56:44
"11961","kurt.carlson","194.29.178.223",2014-11-11 23:11:23
"11962","jhol","194.29.178.166",2014-11-11 23:22:08
"11963","p.freeman","194.29.178.116",2014-11-11 23:22:24
"11964","e.moore","194.29.178.22",2014-11-11 23:25:03
"11965","c.logan","194.29.178.251",2014-11-11 23:40:15
"11966","egil","194.29.178.122",2014-11-11 23:45:06
"11967","s.barrett","194.29.178.205",2014-11-11 23:55:40
"11968","sam.holloway","194.29.178.184",2014-11-12 00:05:33
"11969","ewhi","194.29.178.199",2014-11-12 00:18:54
"11970","dolores.bowen","194.29.178.96",2014-11-12 00:26:02
"11971","gabriel.vazquez","194.29.178.81",2014-11-12 00:28:07
"11972","j.gaines","194.29.178.102",2014-11-12 00:43:39
"11973","k.brooks","193.0.96.13.20",2014-11-12 00:57:12
"11974","nbis","194.29.178.104",2014-11-12 01:02:48
"11975","a.wallace","193.0.96.13.48",2014-11-12 01:20:29
"11976","c.hernandez","194.29.178.28",2014-11-12 01:24:08
"11977","a.powers","194.29.178.132",2014-11-12 01:44:12
"11978","lwri","194.29.178.54",2014-11-12 01:46:34
"11979","lwri","194.29.178.236",2014-11-12 01:56:13
"11980","jvas","193.0.96.13.47",2014-11-12 02:11:45
"11981","eleanor.warner","194.29.178.24",2014-11-12 02:17:20
"11982","daisy.guerrero","194.29.178.7",2014-11-12 02:58:25
"11983","m.hodges","194.29.178.78",2014-11-12 02:59:51
"11984","f.gross","194.29.178.5",2014-11-12 03:00:15
"11985","ncas","194.29.178.134",2014-11-12 03:18:52
"11986","pben","193.0.96.13.50",2014-11-12 03:27:06
"11987","s.burns","194.29.178.195",2014-11-12 03:34:27
"11988","martha.wilson","194.29.178.124",2014-11-12 03:50:56
"11989","hilda.ortiz","194.29.178.99",2014-11-12 04:05:28
"11990","a.mason","194.29.178.236",2014-11-12 04:08:51
"11991","joann.kennedy","193.0.96.13.0",2014-11-12 04:39:29
"11992","harry.hampton","193.0.96.13.40",2014-11-12 04:39:57
"11993","j.olsen","194.29.178.9",2014-11-12 05:12:57
"11994","sam.holloway","193.0.96.13.28",2014-11-12 05:16:13
"11995","freddie.gill","194.29.178.201",2014-11-12 05:17:16
"11996","r.craig","193.0.96.13.21",2014-11-12 05:20:59
"11997","a.ford","194.29.178.78",2014-11-12 05:23:10
"11998","jvas","194.29.178.157",2014-11-12 05:44:52
"11999","m.whitehead","194.29.178.129",2014-11-12 05:46:53
"12000","s.mccoy","194.29.178.17",2014-11-12 06:09:11
"12001","harry.hampton","193.0.96.13.40",2014-11-12 06:38:13
"12002","msno","194.29.178.126",2014-11-12 06:40:15
"12003","apar","194.29.178.150",2014-11-12 06:55:18
"12004","elizabeth.mendez","194.29.178.10",2014-11-12 07:07:18
"12005","mowe","194.29.178.47",2014-11-12 07:07:20
"12006","p.vargas","194.29.178.103",2014-11-12 07:29:45
"12007","lois.nicholson","194.29.178.242",2014-11-12 07:37:52
"12008","gswa","194.29.178.216",2014-11-12 07:43:04
"12009","bjef","194.29.178.151",2014-11-12 07:52:52
"12010","d.martin","194.29.178.35",2014-11-12 07:54:48
"12011","allen.mathis","194.29.178.218",2014-11-12 08:15:06
"12012","claw","193.0.96.13.13",2014-11-12 08:42:08
"12013","ryan.beck","194.29.178.232",2014-11-12 08:42:55
"12014","p.roberson","194.29.178.164",2014-11-12 08:49:09
"12015","olga.horton","194.29.178.208",2014-11-12 08:55:05
"12016","cfow","194.29.178.63",2014-11-12 09:26:00
"12017","lsha","194.29.178.209",2014-11-12 09:34:03
"12018","charlotte.perry","194.29.178.42",2014-11-12 09:34:08
"12019","raul.becker","194.29.178.118",2014-11-12 09:34:52
"12020","martha.wilson","194.29.178.124",2014-11-12 09:37:49
"12021","ksmi","194.29.178.233",2014-11-12 09:58:31
"12022","lois.nicholson","194.29.178.70",2014-11-12 10:08:16
"12023","j.mendoza","194.29.178.125",2014-11-12 10:13:01
"12024","c.banks","194.29.178.39",2014-11-12 10:20:42
"12025","a.mason","194.29.178.236",2014-11-12 10:28:11
"12026","gsto","194.29.178.215",2014-11-12 10:35:57
"12027","jesse.wheeler","194.29.178.222",2014-11-12 10:45:43
"12028","e.warren","193.0.96.13.1",2014-11-12 10:47:12
"12029","ashley.cummings","194.29.178.122",2014-11-12 10:58:01
"12030","steven.gardner","194.29.178.180",2014-11-12 11:02:15
"12031","e.small","194.29.178.155",2014-11-12 11:07:46
"12032","bcha","194.29.178.129",2014-11-12 11:19:11
"12033","ariv","194.29.178.255",2014-11-12 11:29:00
"12034","samuel.goodman","194.29.178.212",2014-11-12 11:36:07
"12035","norma.walsh","194.29.178.249",2014-11-12 11:51:31
"12036","troy.fleming","194.29.178.112",2014-11-12 11:55:22
"12037","bernard.klein","194.29.178.9",2014-11-12 12:06:43
"12038","peter.schneider","193.0.96.13.12",2014-11-12 12:26:24
"12039","jhar","194.29.178.52",2014-11-12 12:58:47
"12040","m.drake","194.29.178.224",2014-11-12 13:20:58
"12041","r.morgan","194.29.178.33",2014-11-12 13:21:39
"12042","eyat","194.29.178.218",2014-11-12 13:31:47
"12043","beatrice.page","194.29.178.124",2014-11-12 13:39:25
"12044","dbry","194.29.178.141",2014-11-12 13:51:33
"12045","jhar","194.29.178.52",2014-11-12 13:55:30
"12046","freddie.gill","194.29.178.201",2014-11-12 14:04:52
"12047","ralph.roberts","193.0.96.13.49",2014-11-12 14:10:17
"12048","tara.mcdaniel","194.29.178.232",2014-11-12 14:20:40
"12049","r.patton","194.29.178.197",2014-11-12 14:25:54
"12050","ariv","194.29.178.218",2014-11-12 14:26:40
"12051","a.morrison","194.29.178.124",2014-11-12 14:29:09
"12052","brett.johnson","194.29.178.8",2014-11-12 14:33:35
"12053","andrea.burgess","194.29.178.93",2014-11-12 14:34:33
"12054","mnav","194.29.178.195",2014-11-12 14:45:30
"12055","dorothy.simpson","194.29.178.82",2014-11-12 14:46:04
"12056","leah.king","193.0.96.13.49",2014-11-12 14:48:08
"12057","dmar","194.29.178.99",2014-11-12 14:57:19
"12058","bcha","194.29.178.5",2014-11-12 14:57:47
"12059","jerry.fisher","194.29.178.82",2014-11-12 14:59:13
"12060","a.shepherd","194.29.178.81",2014-11-12 15:00:47
"12061","dhay","194.29.178.149",2014-11-12 15:01:59
"12062","talv","194.29.178.112",2014-11-12 15:03:19
"12063","h.monroe","194.29.178.70",2014-11-12 15:05:58
"12064","rkem","194.29.178.183",2014-11-12 15:29:28
"12065","bber","193.0.96.13.34",2014-11-12 15:30:41
"12066","brittany.barker","194.29.178.119",2014-11-12 15:32:15
"12067","patsy.fox","194.29.178.56",2014-11-12 15:33:33
"12068","m.santiago","194.29.178.102",2014-11-12 15:33:47
"12069","jmur","194.29.178.124",2014-11-12 15:36:51
"12070","rcox","194.29.178.156",2014-11-12 15:38:44
"12071","valerie.poole","194.29.178.142",2014-11-12 15:39:08
"12072","jimmie.keller","194.29.178.90",2014-11-12 15:42:42
"12073","jbel","194.29.178.126",2014-11-12 15:51:32
"12074","willard.bond","194.29.178.46",2014-11-12 16:20:25
"12075","s.edwards","193.0.96.13.15",2014-11-12 16:27:03
"12076","ramon.reyes","194.29.178.13",2014-11-12 16:49:56
"12077","corey.gray","194.29.178.137",2014-11-12 16:56:10
"12078","a.gates","194.29.178.141",2014-11-12 17:00:33
"12079","anthony.gregory","193.0.96.13.30",2014-11-12 17:19:32
"12080","dale.vega","194.29.178.135",2014-11-12 17:20:40
"12081","mnav","194.29.178.24",2014-11-12 17:25:15
"12082","dana.watkins","193.0.96.13.45",2014-11-12 17:36:46
"12083","rkem","194.29.178.106",2014-11-12 17:43:45
"12084","martin.ballard","194.29.178.132",2014-11-12 17:50:04
"12085","bertha.mathews","194.29.178.61",2014-11-12 18:05:39
"12086","gabriel.vazquez","194.29.178.81",2014-11-12 18:06:16
"12087","hilda.ortiz","194.29.178.99",2014-11-12 18:29:03
"12088","gabriel.vazquez","194.29.178.81",2014-11-12 18:32:16
"12089","mtyl","194.29.178.60",2014-11-12 18:54:39
"12090","c.richards","194.29.178.93",2014-11-12 18:59:23
"12091","mowe","194.29.178.8",2014-11-12 19:08:52
"12092","soli","194.29.178.153",2014-11-12 19:12:20
"12093","annie.keith","194.29.178.41",2014-11-12 19:28:29
"12094","armando.davis","194.29.178.174",2014-11-12 19:33:35
"12095","do.c","193.0.96.13.49",2014-11-12 19:37:41
"12096","maurice.ferguson","193.0.96.13.44",2014-11-12 19:41:36
"12097","m.lang","194.29.178.118",2014-11-12 19:59:35
"12098","s.edwards","194.29.178.124",2014-11-12 20:03:07
"12099","charlene.terry","194.29.178.225",2014-11-12 20:04:10
"12100","gsto","194.29.178.215",2014-11-12 20:08:01
"12101","sfos","194.29.178.140",2014-11-12 20:13:02
"12102","willard.bond","194.29.178.46",2014-11-12 20:17:56
"12103","r.cohen","194.29.178.105",2014-11-12 20:28:13
"12104","brittany.barker","194.29.178.119",2014-11-12 20:50:05
"12105","charlotte.perry","193.0.96.13.54",2014-11-12 21:15:21
"12106","tlyn","194.29.178.14",2014-11-12 21:15:31
"12107","phillip.deleon","194.29.178.7",2014-11-12 21:18:53
"12108","raul.becker","194.29.178.118",2014-11-12 21:26:54
"12109","kkir","194.29.178.52",2014-11-12 21:50:53
"12110","samuel.goodman","194.29.178.212",2014-11-12 21:51:33
"12111","cody.blake","194.29.178.221",2014-11-12 21:57:00
"12112","j.gaines","194.29.178.200",2014-11-12 22:08:11
"12113","cody.blake","193.0.96.13.13",2014-11-12 22:13:19
"12114","stella.holmes","194.29.178.254",2014-11-12 22:14:45
"12115","awon","194.29.178.82",2014-11-12 22:18:29
"12116","l.stone","194.29.178.65",2014-11-12 22:24:59
"12117","barbara.alexander","193.0.96.13.27",2014-11-12 22:36:22
"12118","egil","194.29.178.32",2014-11-12 22:55:20
"12119","icar","194.29.178.201",2014-11-12 22:58:45
"12120","jhol","194.29.178.166",2014-11-12 23:02:26
"12121","t.weaver","194.29.178.213",2014-11-12 23:07:11
"12122","jtod","194.29.178.76",2014-11-12 23:11:20
"12123","kmey","194.29.178.116",2014-11-12 23:23:28
"12124","c.gallagher","194.29.178.89",2014-11-12 23:29:56
"12125","tyrone.cline","194.29.178.61",2014-11-12 23:32:53
"12126","agnes.neal","193.0.96.13.31",2014-11-12 23:34:03
"12127","h.wyatt","193.0.96.13.42",2014-11-12 23:34:31
"12128","ruby.gomez","194.29.178.196",2014-11-12 23:35:49
"12129","anic","194.29.178.249",2014-11-12 23:39:52
"12130","r.cohen","194.29.178.105",2014-11-12 23:44:23
"12131","kurt.carlson","194.29.178.107",2014-11-12 23:44:30
"12132","gsto","194.29.178.238",2014-11-12 23:54:44
"12133","gjen","194.29.178.166",2014-11-13 00:02:36
"12134","lucy.matthews","194.29.178.4",2014-11-13 00:05:37
"12135","t.ramirez","194.29.178.127",2014-11-13 00:16:08
"12136","erika.carpenter","194.29.178.71",2014-11-13 00:23:52
"12137","r.huffman","194.29.178.92",2014-11-13 00:56:19
"12138","shannon.cain","194.29.178.164",2014-11-13 00:58:15
"12139","ltur","193.0.96.13.10",2014-11-13 01:06:08
"12140","otho","194.29.178.137",2014-11-13 01:17:24
"12141","norma.walsh","194.29.178.2",2014-11-13 01:28:23
"12142","d.mcgee","193.0.96.13.9",2014-11-13 01:41:31
"12143","doris.gutierrez","194.29.178.206",2014-11-13 01:49:26
"12144","ryan.beck","194.29.178.232",2014-11-13 02:07:02
"12145","a.wallace","194.29.178.118",2014-11-13 02:18:31
"12146","a.rodgers","194.29.178.14",2014-11-13 02:28:57
"12147","florence.bridges","194.29.178.236",2014-11-13 02:35:12
"12148","lwri","194.29.178.236",2014-11-13 02:49:10
"12149","pedro.webster","194.29.178.235",2014-11-13 02:58:23
"12150","bhar","194.29.178.90",2014-11-13 03:17:38
"12151","phillip.deleon","194.29.178.227",2014-11-13 03:34:23
"12152","m.garza","194.29.178.45",2014-11-13 03:39:59
"12153","dpar","194.29.178.123",2014-11-13 04:13:45
"12154","cbur","194.29.178.41",2014-11-13 04:20:59
"12155","whuf","194.29.178.98",2014-11-13 04:23:01
"12156","m.elliott","194.29.178.12",2014-11-13 04:26:11
"12157","kelly.davenport","193.0.96.13.22",2014-11-13 04:37:41
"12158","j.osborne","193.0.96.13.43",2014-11-13 04:38:26
"12159","m.hodges","194.29.178.186",2014-11-13 04:41:06
"12160","ricky.vaughn","194.29.178.85",2014-11-13 04:41:30
"12161","m.jimenez","194.29.178.115",2014-11-13 04:50:52
"12162","vera.petersen","194.29.178.131",2014-11-13 04:51:54
"12163","jhol","194.29.178.116",2014-11-13 04:52:21
"12164","cfow","194.29.178.63",2014-11-13 05:07:31
"12165","l.hill","194.29.178.23",2014-11-13 05:12:19
"12166","carole.randall","194.29.178.103",2014-11-13 05:19:53
"12167","blew","194.29.178.204",2014-11-13 05:20:24
"12168","z.stevenson","194.29.178.230",2014-11-13 05:47:34
